종목코드,회사명,배당기록
065450, 빅텍,2011 : -  2012 : -  2013 : -  2014 : -  
082850, 우리이티아이,2012 : 50  2013 : 25  2014 : 25  2015 : -  
017370, 우신시스템,2012 : 60  2013 : 20  2014 : 20  2015 : 30  
065690, 대진디엠피,2012 : -  2013 : -  2014 : -  2015 : -  
091340, S&K폴리텍,2011 : 150  2012 : 150  2013 : -  2014 : -  
038070, 서린바이오,2012 : 173  2013 : 150  2014 : 159  2015 : 156  
024900, 덕양산업,2012 : 628  2013 : 3876  2014 : 40  2015 : 20  
091580, 상신이디피,2012 : 50  2013 : 50  2014 : 50  2015 : 50  
215000, 골프존,- : -  - : -  - : -  2015 : 4000  
023810, 인팩,2012 : 100  2013 : 130  2014 : 140  2015 : 140  
214390, 경보제약,2012 : 1750  2013 : 3000  2014 : 3000  2015 : 275  
900110, 이스트아시아홀딩스,2012 : 50  2013 : 10  2014 : 10  2015 : 10  
093520, 매커스,2012 : -  2013 : -  2014 : -  2015 : 80  
094850, 참좋은레져,2012 : 100  2013 : 100  2014 : 100  2015 : 100  
031430, 신세계인터내셔날,2012 : 600  2013 : 600  2014 : 600  2015 : 600  
071970, STX중공업,2012 : 125  2013 : -  2014 : -  2015 : -  
005390, 신성통상,2012 : 5  2013 : -  2014 : -  2015 : -  
007570, 일양약품,2013 : 100  2014 : 100  2015 : -  2015 : -  
131290, 티에스이,2011 : 50  2012 : -  2013 : -  2014 : -  
064350, 현대로템,- : -  - : -  2013 : 125  2014 : -  
008420, 문배철강,2012 : 50  2013 : 50  2014 : 50  2015 : 50  
007330, 푸른저축은행,2012 : -  2013 : -  2014 : -  2015 : 300  
043650, 국순당,2012 : 90  2013 : 45  2014 : 50  2015 : 50  
021880, 한국종합캐피탈,2013 : -  2014 : -  2015 : -  2016 : -  
089030, 테크윙,2012 : 110  2013 : 120  2014 : 200  2015 : 220  
105840, 우진,2012 : 60  2013 : 130  2014 : 170  2015 : 200  
101240, 씨큐브,2012 : -  2013 : -  2014 : 100  2015 : 100  
065680, 우주일렉트로,2012 : 100  2013 : 200  2014 : 250  2015 : 250  
101000, 디엠씨,2012 : -  2013 : -  2014 : 25  2015 : 30  
128940, 한미약품,2012 : -  2013 : -  2014 : -  2015 : 2000  
024910, 경창산업,2012 : 55  2013 : 100  2014 : 80  2015 : 50  
053210, 스카이라이프,2012 : 350  2013 : 455  2014 : 350  2015 : 350  
054540, 삼영엠텍,2012 : 120  2013 : 80  2014 : -  2015 : 80  
053450, 세코닉스,2012 : 115  2013 : 300  2014 : 100  2015 : 200  
031440, 신세계푸드,2012 : 750  2013 : 750  2014 : 750  2015 : 500  
034950, 한국기업평가,2012 : 2197  2013 : 1778  2014 : 1682  2015 : 1537  
030350, 드래곤플라이,2012 : 100  2013 : -  2014 : -  2015 : -  
019540, 일지테크,2012 : 50  2013 : 60  2014 : 100  2015 : 100  
094840, 슈프리마,2012 : -  2013 : -  2014 : -  2015 : -  
005380, 현대차,2012 : 1900  2013 : 1950  2014 : 3000  2015 : 4000  
078140, 대봉엘에스,2012 : 50  2013 : 50  2014 : 50  2015 : 50  
010960, 삼호개발,2012 : 90  2013 : 90  2014 : 100  2015 : 100  
011810, STX,2012 : 125  2013 : -  2014 : -  2015 : -  
068940, 아이씨케이,2011 : 70  2012 : -  2013 : -  2014 : -  
020760, 일진디스플,2011 : 100  2012 : 200  2013 : 200  2014 : 100  
192440, 슈피겐코리아,2012 : 400  2013 : 440  2014 : 660  2015 : 600  
017390, 서울가스,2012 : 1250  2013 : 1250  2014 : 1500  2015 : 1750  
001800, 오리온,2012 : 3000  2013 : 3000  2014 : 6000  2015 : 6000  
136510, 쎄미시스코,2012 : -  2013 : 20  2014 : 20  2015 : 20  
091120, 이엠텍,2011 : -  2012 : -  2013 : -  2014 : -  
138930, BNK금융지주,2012 : 330  2013 : 280  2014 : 200  2015 : 150  
100120, 뷰웍스,2012 : 100  2013 : 100  2014 : 100  2015 : 100  
000950, 전방,2011 : -  2012 : -  2013 : -  2014 : -  
115610, 이미지스,2011 : 50  2012 : -  2013 : -  2014 : -  
033830, 티비씨,2012 : 60  2013 : 200  2014 : 150  2015 : 150  
095720, 웅진씽크빅,2011 : 410  2012 : -  2013 : -  2014 : -  
006260, LS,2012 : 1250  2013 : 1250  2014 : 1250  2015 : 1250  
009770, 삼정펄프,2012 : 800  2013 : 1000  2014 : 1000  2015 : 1250  
004080, 신흥,2012 : 200  2013 : 200  2014 : 200  2015 : 200  
192410, 감마누,- : -  - : -  - : -  2014 : 200  
007590, 동방아그로,2012 : 185  2013 : 200  2014 : 200  2015 : 220  
079000, 와토스코리아,2012 : 165  2013 : -  2014 : 150  2015 : 150  
053690, 한미글로벌,2012 : 200  2013 : 200  2014 : 250  2015 : 250  
082640, 동양생명,2013 : 350  2013 : 200  2014 : 550  2015 : 620  
085910, 네오티스,2012 : 350  2013 : 350  2014 : 350  2015 : 350  
044960, 이-글 벳,2012 : 60  2013 : 60  2014 : 60  2015 : 60  
134580, 디엠티,2012 : -  2013 : 100  2014 : 70  2015 : 65  
068930, 디지털대성,2012 : 100  2013 : 120  2014 : 160  2015 : 160  
018470, 조일알미늄,2012 : 20  2013 : 15  2014 : -  2015 : 15  
038060, 루멘스,2011 : -  2012 : -  2013 : -  2014 : 25  
000700, 유수홀딩스,2012 : -  2013 : -  2014 : -  2015 : 75  
092440, 기신정기,2013 : 200  2014 : 200  2015 : 200  2016 : 150  
100130, 동국S&C,2012 : 70  2013 : 70  2014 : 70  2015 : 100  
091590, 남화토건,2012 : 150  2013 : 100  2014 : 100  2015 : 70  
023800, 인지컨트롤스,2012 : 100  2013 : 100  2014 : 100  2015 : 150  
214180, 민앤지,- : -  - : -  2014 : -  2015 : 350  
033600, 이젠텍,2011 : 100  2012 : 100  2013 : -  2014 : -  
092200, 디아이씨,2011 : 50  2012 : 50  2013 : 50  2014 : -  
056700, 신화인터텍,2011 : -  2012 : -  2013 : -  2014 : -  
032750, 삼진,2012 : 100  2013 : 100  2014 : 100  2015 : 120  
080470, 성창오토텍,2012 : 80  2013 : 80  2014 : 50  2015 : 50  
005160, 동국산업,2012 : 120  2013 : 120  2014 : 120  2015 : 140  
151910, 나노스,2012 : 100  2013 : 125  2014 : 150  2015 : -  
028260, 삼성물산,2012 : -  2013 : -  2014 : -  2015 : 500  
041460, 한국전자인증,2012 : 33  2013 : 38  2014 : 39  2015 : 42  
009520, 포스코엠텍,2012 : 75  2013 : 50  2014 : -  2015 : 50  
007340, 동아타이어,2012 : 75  2013 : 100  2014 : 150  2015 : 250  
067830, 세이브존I&C,2012 : 30  2013 : 30  2014 : 30  2015 : 30  
020180, 대신정보통신,2013 : -  2014 : -  2015 : 15  2016 : 15  
001420, 태원물산,2012 : 100  2013 : 84  2014 : 80  2015 : 90  
102120, 어보브반도체,2012 : 35  2013 : 50  2014 : 40  2015 : 40  
099660, 신텍,2012 : -  2013 : -  2014 : -  2015 : -  
105630, 한세실업,2012 : 120  2013 : 150  2014 : 200  2015 : 250  
091700, 파트론,2012 : 300  2013 : 300  2014 : 250  2015 : 250  
038950, 파인디지털,2012 : 100  2013 : 100  2014 : 100  2015 : 100  
090850, 이지웰페어,2012 : -  2013 : 50  2014 : 75  2015 : 75  
079810, 디이엔티,2011 : -  2012 : -  2013 : -  2014 : -  
010140, 삼성중공업,2012 : 500  2013 : 500  2014 : 250  2015 : -  
036530, S&T홀딩스,2012 : 400  2013 : 400  2014 : 215  2015 : 265  
161570, 미동전자통신,2012 : -  2013 : -  2014 : 50  2015 : -  
115440, 우리넷,2012 : 160  2013 : 150  2014 : 150  2015 : 150  
009150, 삼성전기,2012 : 1000  2013 : 750  2014 : 750  2015 : 500  
034590, 인천도시가스,2012 : 1250  2013 : 1250  2014 : 1250  2015 : 1250  
008060, 대덕전자,2012 : 300  2013 : 300  2014 : 300  2015 : 300  
002760, 보락,2012 : 40  2013 : 20  2014 : 70  2015 : 30  
023460, CNH,2012 : 25  2013 : 20  2014 : 50  2015 : 15  
025880, 케이씨피드,2012 : 45  2013 : 40  2014 : 25  2015 : 35  
049830, 승일,2011 : 85  2012 : 85  2013 : 85  2014 : 85  
000320, 노루홀딩스,2012 : 350  2013 : 400  2014 : 400  2015 : 400  
019180, 티에이치엔,2012 : 40  2013 : 40  2014 : 20  2015 : 60  
097230, 한진중공업,2012 : -  2013 : -  2014 : -  2015 : -  
099410, 동방선기,2011 : -  2012 : -  2013 : -  2014 : -  
051910, LG화학,2012 : 4000  2013 : 4000  2014 : 4000  2015 : 4500  
003830, 대한화섬,2011 : 750  2012 : 750  2013 : 750  2014 : -  
084180, 수성,2012 : 70  2013 : 70  2014 : 70  2015 : 70  
222800, 심텍,- : -  - : -  - : -  2015 : 260  
014970, 삼륭물산,2012 : 50  2013 : 50  2014 : 50  2015 : 50  
126560, 현대에이치씨엔,2012 : 40  2013 : 40  2014 : 40  2015 : 40  
036540, STS반도체,2012 : -  2013 : -  2014 : -  2015 : -  
010130, 고려아연,2012 : 5000  2013 : 5000  2014 : 6500  2015 : 8500  
012790, 신일제약,2012 : 80  2013 : 90  2014 : 120  2015 : 120  
035200, 프럼파스트,2012 : -  2013 : -  2014 : 100  2015 : 100  
010120, LS산전,2012 : 1000  2013 : 1100  2014 : 1300  2015 : 1000  
034120, SBS,2012 : 600  2013 : 600  2014 : -  2015 : 750  
037620, 미래에셋증권,2013 : 1000  2013 : 350  2014 : 350  2015 : 350  
011210, 현대위아,2012 : 500  2013 : 500  2014 : 800  2015 : 1100  
009140, 경인전자,2012 : 350  2013 : 350  2014 : 350  2015 : 350  
033270, 유나이티드제약,2012 : 120  2013 : 50  2014 : 200  2015 : 220  
170030, 현대공업,2012 : 96  2013 : 80  2014 : 90  2015 : 66  
021050, 서원,2012 : 50  2013 : -  2014 : -  2015 : -  
025890, 한국주강,2011 : -  2012 : -  2013 : -  2014 : -  
171120, 라이온켐텍,2012 : 100  2013 : 200  2014 : 110  2015 : 200  
022100, 포스코 ICT,2011 : 25  2012 : 25  2013 : 50  2014 : 50  
101490, 에스앤에스텍,2012 : 50  2013 : -  2014 : -  2015 : -  
026940, 부국철강,2012 : 75  2013 : 75  2014 : 75  2015 : 75  
067010, 이씨에스,2013 : 180  2014 : 200  2015 : 220  2016 : 250  
